time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,5,5,0,0
2026-04-12 00:00:00+00:00,1,1,0,0
2026-04-13 00:00:00+00:00,16,8,0,0
2026-04-14 00:00:00+00:00,9,4,0,0
2026-04-15 00:00:00+00:00,6,5,0,0
2026-04-16 00:00:00+00:00,7,3,0,0
2026-04-17 00:00:00+00:00,15,6,0,0
2026-04-18 00:00:00+00:00,19,7,0,0
2026-04-19 00:00:00+00:00,35,14,0,0
2026-04-20 00:00:00+00:00,64,26,0,0
2026-04-21 00:00:00+00:00,58,21,0,0
2026-04-22 00:00:00+00:00,91,29,0,0
2026-04-23 00:00:00+00:00,69,22,0,0
2026-04-24 00:00:00+00:00,63,24,0,0
